@RELATION tweet

@ATTRIBUTE user {true,false}
@ATTRIBUTE word {true,false}
@ATTRIBUTE hashtag {true,false}
@ATTRIBUTE smiley {true,false}
@ATTRIBUTE argoInternet {true,false}
@ATTRIBUTE ponctuation {absent, regulier, surnombre}
@ATTRIBUTE retweet {true,false}
@ATTRIBUTE nbRetweet NUMERIC
@ATTRIBUTE longeur NUMERIC
@ATTRIBUTE categorie {Drole, Contrepetrie, PasDrole, Autoderision}
@ATTRIBUTE tweetDrole {true,false}

@DATA
false,false,false,false,false,absent,false,4,63,PasDrole,false
false,false,false,false,false,absent,false,5,78,PasDrole,false
false,true,false,false,true,absent,false,10,96,PasDrole,false
false,false,false,false,false,absent,false,14,69,PasDrole,false
false,false,false,false,false,absent,false,15,80,PasDrole,false
false,false,false,false,false,absent,false,76,81,PasDrole,false
false,false,false,false,false,absent,false,15,87,PasDrole,false
false,false,false,false,false,absent,false,34,60,PasDrole,false
false,false,false,false,false,absent,false,16,75,PasDrole,false
false,false,false,false,false,absent,false,23,69,PasDrole,false
false,false,false,false,false,absent,false,49,71,PasDrole,false
false,false,false,false,false,absent,false,16,88,PasDrole,false
false,false,false,false,false,absent,false,55,84,PasDrole,false
false,false,false,false,false,absent,false,36,77,PasDrole,false
false,false,false,false,false,absent,false,77,100,PasDrole,false
false,false,false,false,false,absent,false,28,88,PasDrole,false
false,false,false,false,false,absent,false,12,60,PasDrole,false
false,false,false,false,false,absent,false,21,97,PasDrole,false
false,false,false,false,false,absent,false,338,96,PasDrole,false
false,false,false,false,false,absent,false,177,84,PasDrole,false
false,false,false,false,false,absent,false,7,61,PasDrole,false
false,false,false,false,false,absent,false,75,56,PasDrole,false
false,false,false,false,false,absent,false,32,99,PasDrole,false
false,false,false,false,false,absent,false,172,73,PasDrole,false
false,false,false,false,false,absent,false,27,83,PasDrole,false
false,false,false,false,false,absent,false,65,87,PasDrole,false
false,false,false,false,false,absent,false,692,132,PasDrole,false
false,false,false,false,false,absent,false,11,74,PasDrole,false
false,false,false,false,false,absent,false,14,63,PasDrole,false
false,false,false,false,false,absent,false,15,74,PasDrole,false
false,false,false,false,false,absent,false,53,94,PasDrole,false
false,false,false,false,false,absent,false,46,94,PasDrole,false
false,false,false,false,false,absent,false,37,82,PasDrole,false
false,false,false,false,false,absent,false,93,101,PasDrole,false
false,false,false,false,false,absent,false,160,79,PasDrole,false
false,false,false,false,false,absent,false,52,116,PasDrole,false
false,false,false,false,false,absent,false,56,87,PasDrole,false
false,false,false,false,false,absent,false,8,68,PasDrole,false
false,false,false,false,false,absent,false,4,61,PasDrole,false
false,false,false,false,false,absent,false,29,134,PasDrole,false
false,false,false,false,false,absent,false,20,133,PasDrole,false
false,false,false,false,false,absent,false,5,64,PasDrole,false
false,false,false,false,false,absent,false,4,139,PasDrole,false
false,false,false,false,false,absent,false,0,33,PasDrole,false
false,false,false,false,false,absent,true,28,140,PasDrole,false
false,false,false,false,false,absent,false,331,135,PasDrole,false
false,false,false,false,false,absent,false,8,60,PasDrole,false
false,false,false,false,false,absent,false,31,130,PasDrole,false
false,false,false,false,false,absent,false,26,74,PasDrole,false
false,false,false,false,false,absent,false,7,81,PasDrole,false
false,false,false,false,false,absent,false,20,86,PasDrole,false
false,false,false,false,false,absent,false,23,75,PasDrole,false
false,false,false,false,false,absent,false,12,75,PasDrole,false
false,false,false,false,false,absent,false,58,104,PasDrole,false
false,false,false,false,false,absent,false,40,83,PasDrole,false
false,false,false,false,false,absent,false,31,76,PasDrole,false
false,false,false,false,false,absent,false,44,111,PasDrole,false
false,false,false,false,false,absent,false,38,109,PasDrole,false
false,false,false,false,false,absent,false,52,75,PasDrole,false
false,false,false,false,false,absent,false,17,69,PasDrole,false
false,false,false,false,false,absent,false,20,63,PasDrole,false
false,false,false,false,false,absent,false,4,64,PasDrole,false
false,false,false,false,false,absent,false,26,58,PasDrole,false
false,false,false,false,false,absent,false,79,72,PasDrole,false
false,false,false,false,false,absent,false,54,79,PasDrole,false
false,false,false,false,false,absent,false,65,58,PasDrole,false
false,false,false,false,false,absent,true,35,135,PasDrole,false
false,false,false,false,false,absent,false,6,86,PasDrole,false
false,false,false,false,false,absent,false,26,92,PasDrole,false
false,false,false,false,false,absent,false,19,68,PasDrole,false
false,false,false,false,false,absent,false,20,71,PasDrole,false
false,false,false,false,false,absent,false,15,81,PasDrole,false
false,false,false,false,false,absent,false,29,106,PasDrole,false
false,false,false,false,false,absent,false,18,84,PasDrole,false
false,false,false,false,false,absent,false,6,64,PasDrole,false
false,false,false,false,false,absent,false,21,68,PasDrole,false
false,false,false,false,false,absent,true,5,99,PasDrole,false
false,false,false,false,false,absent,false,22,65,PasDrole,false
false,false,false,false,false,absent,false,97,62,PasDrole,false
false,false,false,false,false,absent,false,373,105,PasDrole,false
false,false,false,false,false,absent,false,10,77,PasDrole,false
false,false,false,false,false,absent,false,19,106,PasDrole,false
false,false,false,false,false,absent,false,278,122,PasDrole,false
false,false,false,false,false,absent,false,57,80,PasDrole,false
false,false,false,false,false,absent,false,40,107,PasDrole,false
false,false,false,false,false,absent,true,112,131,PasDrole,false
false,false,false,false,false,absent,true,28,139,PasDrole,false
false,false,false,false,false,regulier,true,27,140,PasDrole,false
false,false,false,false,false,absent,false,25,106,PasDrole,false
false,false,false,false,false,absent,false,47,120,PasDrole,false
false,false,false,false,false,absent,true,22,124,PasDrole,false
false,false,false,false,false,absent,false,144,105,PasDrole,false
false,false,false,false,false,absent,false,385,110,PasDrole,false
false,false,false,false,false,absent,false,23,71,PasDrole,false
false,false,false,false,false,absent,false,18,108,PasDrole,false
false,false,false,false,false,absent,false,26,84,PasDrole,false
false,false,false,false,false,absent,true,56,124,PasDrole,false
false,false,false,false,false,absent,false,403,130,PasDrole,false
false,false,false,false,false,absent,false,64,88,PasDrole,false
false,false,false,false,false,absent,true,10,139,PasDrole,false
false,false,false,false,false,absent,false,28,43,PasDrole,false
false,false,false,false,false,absent,false,73,86,PasDrole,false
false,false,false,false,false,absent,false,13,85,PasDrole,false
false,false,false,false,false,absent,false,33,86,PasDrole,false
false,false,false,false,false,absent,false,52,97,PasDrole,false
false,false,false,false,false,absent,false,56,92,PasDrole,false
false,false,false,false,false,absent,false,13,85,PasDrole,false
false,false,false,false,false,absent,false,41,81,PasDrole,false
false,false,false,false,false,absent,false,16,78,PasDrole,false
false,false,false,false,false,absent,false,27,79,PasDrole,false
false,false,false,false,false,absent,false,15,112,PasDrole,false
false,false,false,false,false,absent,false,52,91,PasDrole,false
false,false,false,false,false,absent,false,58,106,PasDrole,false
false,false,false,false,false,absent,false,17,90,PasDrole,false
false,false,false,false,false,absent,false,7,62,PasDrole,false
false,false,false,false,false,absent,true,18,104,PasDrole,false
false,false,false,false,false,absent,false,169,105,PasDrole,false
false,false,false,false,false,absent,false,77,103,PasDrole,false
false,false,false,false,false,absent,false,27,97,PasDrole,false
false,false,false,false,false,absent,false,33,68,PasDrole,false
false,false,false,false,false,absent,false,47,99,PasDrole,false
false,false,false,false,false,absent,false,28,91,PasDrole,false
false,false,false,false,false,absent,false,29,74,PasDrole,false
false,false,false,false,false,absent,false,20,82,PasDrole,false
false,false,false,false,false,absent,false,27,58,PasDrole,false
false,false,false,false,false,absent,true,33,85,PasDrole,false
false,false,false,false,false,absent,false,30,87,PasDrole,false
false,false,false,false,false,absent,false,39,125,PasDrole,false
false,false,false,false,false,absent,false,37,85,PasDrole,false
false,false,false,false,false,absent,true,53,100,PasDrole,false
false,false,false,false,false,absent,false,46,101,PasDrole,false
false,false,false,false,false,absent,false,140,60,PasDrole,false
false,false,false,false,false,absent,false,101,139,PasDrole,false
false,false,false,false,false,absent,false,58,82,PasDrole,false
false,false,false,false,false,absent,false,12,79,PasDrole,false
false,false,false,false,false,absent,false,8,108,PasDrole,false
false,false,false,false,false,absent,false,7,89,PasDrole,false
false,false,false,false,false,absent,false,26,104,PasDrole,false
false,false,false,false,false,absent,true,30,140,PasDrole,false
false,false,false,false,false,absent,false,48,102,PasDrole,false
false,false,false,false,false,absent,true,17,119,PasDrole,false
false,false,false,false,false,absent,false,29,112,PasDrole,false
false,false,false,false,false,absent,false,9,58,PasDrole,false
false,false,false,false,false,absent,false,20,80,PasDrole,false
false,false,false,false,false,absent,false,5,70,PasDrole,false
false,false,false,false,false,absent,true,9,138,PasDrole,false
false,false,false,false,false,absent,true,11,95,PasDrole,false
false,false,false,false,false,absent,true,19,115,PasDrole,false
false,false,false,false,false,absent,false,71,99,PasDrole,false
false,false,false,false,false,absent,false,11,67,PasDrole,false
false,false,false,false,false,absent,false,86,83,PasDrole,false
false,false,false,false,false,absent,false,30,76,PasDrole,false
false,false,false,false,false,absent,true,38,129,PasDrole,false
false,false,false,false,false,absent,false,41,64,PasDrole,false
false,false,false,false,false,absent,false,43,89,PasDrole,false
