@RELATION tweet

@ATTRIBUTE TweetDroleSmileyPasContent {"true","false"}
@ATTRIBUTE TweetDroleSmileyContent {"true","false"}
@ATTRIBUTE TweetDroleExclamation {"absent", "regulier", "surnombre"}
@ATTRIBUTE TweetDroleDrole {"true","false"}

@DATA
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "regulier",4 "true"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "true",3 "regulier",4 "false"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "true",3 "absent",4 "false"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "absent",4 "true"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "regulier",4 "true"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "true",3 "absent",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "true",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "surnombre",4 "false"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "regulier",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
{1 "false",2 "false",3 "absent",4 "false"}
