@relation tweet-weka.filters.unsupervised.attribute.Remove-R10

@attribute user {true,false}
@attribute word {true,false}
@attribute hashtag {true,false}
@attribute smiley {true,false}
@attribute argoInternet {true,false}
@attribute ponctuation {absent,regulier,surnombre}
@attribute retweet {true,false}
@attribute nbRetweet numeric
@attribute longeur numeric
@attribute tweetDrole {true,false}

@data
false,false,false,false,false,absent,false,4,63,false
false,false,false,false,false,absent,false,5,78,false
false,true,false,false,true,absent,false,10,96,false
false,false,false,false,false,absent,false,14,69,false
false,false,false,false,false,absent,false,15,80,false
false,false,false,false,false,absent,false,76,81,false
false,false,false,false,false,absent,false,15,87,false
false,false,false,false,false,absent,false,34,60,false
false,false,false,false,false,absent,false,16,75,false
false,false,false,false,false,absent,false,23,69,false
false,false,false,false,false,absent,false,49,71,false
false,false,false,false,false,absent,false,16,88,false
false,false,false,false,false,absent,false,55,84,false
false,false,false,false,false,absent,false,36,77,false
false,false,false,false,false,absent,false,77,100,false
false,false,false,false,false,absent,false,28,88,false
false,false,false,false,false,absent,false,12,60,false
false,false,false,false,false,absent,false,21,97,false
false,false,false,false,false,absent,false,338,96,false
false,false,false,false,false,absent,false,177,84,false
false,false,false,false,false,absent,false,7,61,false
false,false,false,false,false,absent,false,75,56,false
false,false,false,false,false,absent,false,32,99,false
false,false,false,false,false,absent,false,172,73,false
false,false,false,false,false,absent,false,27,83,false
false,false,false,false,false,absent,false,65,87,false
false,false,false,false,false,absent,false,692,132,false
false,false,false,false,false,absent,false,11,74,false
false,false,false,false,false,absent,false,14,63,false
false,false,false,false,false,absent,false,15,74,false
false,false,false,false,false,absent,false,53,94,false
false,false,false,false,false,absent,false,46,94,false
false,false,false,false,false,absent,false,37,82,false
false,false,false,false,false,absent,false,93,101,false
false,false,false,false,false,absent,false,160,79,false
false,false,false,false,false,absent,false,52,116,false
false,false,false,false,false,absent,false,56,87,false
false,false,false,false,false,absent,false,8,68,false
false,false,false,false,false,absent,false,4,61,false
false,false,false,false,false,absent,false,29,134,false
false,false,false,false,false,absent,false,20,133,false
false,false,false,false,false,absent,false,5,64,false
false,false,false,false,false,absent,false,4,139,false
false,false,false,false,false,absent,false,0,33,false
false,false,false,false,false,absent,true,28,140,false
false,false,false,false,false,absent,false,331,135,false
false,false,false,false,false,absent,false,8,60,false
false,false,false,false,false,absent,false,31,130,false
false,false,false,false,false,absent,false,26,74,false
false,false,false,false,false,absent,false,7,81,false
false,false,false,false,false,absent,false,20,86,false
false,false,false,false,false,absent,false,23,75,false
false,false,false,false,false,absent,false,12,75,false
false,false,false,false,false,absent,false,58,104,false
false,false,false,false,false,absent,false,40,83,false
false,false,false,false,false,absent,false,31,76,false
false,false,false,false,false,absent,false,44,111,false
false,false,false,false,false,absent,false,38,109,false
false,false,false,false,false,absent,false,52,75,false
false,false,false,false,false,absent,false,17,69,false
false,false,false,false,false,absent,false,20,63,false
false,false,false,false,false,absent,false,4,64,false
false,false,false,false,false,absent,false,26,58,false
false,false,false,false,false,absent,false,79,72,false
false,false,false,false,false,absent,false,54,79,false
false,false,false,false,false,absent,false,65,58,false
false,false,false,false,false,absent,true,35,135,false
false,false,false,false,false,absent,false,6,86,false
false,false,false,false,false,absent,false,26,92,false
false,false,false,false,false,absent,false,19,68,false
false,false,false,false,false,absent,false,20,71,false
false,false,false,false,false,absent,false,15,81,false
false,false,false,false,false,absent,false,29,106,false
false,false,false,false,false,absent,false,18,84,false
false,false,false,false,false,absent,false,6,64,false
false,false,false,false,false,absent,false,21,68,false
false,false,false,false,false,absent,true,5,99,false
false,false,false,false,false,absent,false,22,65,false
false,false,false,false,false,absent,false,97,62,false
false,false,false,false,false,absent,false,373,105,false
false,false,false,false,false,absent,false,10,77,false
false,false,false,false,false,absent,false,19,106,false
false,false,false,false,false,absent,false,278,122,false
